ID,alive,food0_AVE,food0_LIST,food1_AVE,food1_LIST,food2_AVE,food2_LIST,genomeLength,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_AVE,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_AVE,markovBrain_nodesConnections_LIST,novelty_AVE,novelty_LIST,optimizeValue,repeated_AVE,repeated_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,total_AVE,total_LIST,update
24001,1,27.666667,"[29,23,31]",60.000000,"[64,61,55]",51.666667,"[49,57,49]",7690,7,7,1.866667,"[2,4,2,1,6,2,1,1,0,1,3,2,2,1,0]",1.466667,"[4,1,0,2,1,1,2,0,2,5,0,0,0,2,2]",32.000000,"[35,32,29]",65.466667,79.333333,"[77,85,76]",65.466667,"[73.800000,67.600000,55.000000]",33.000000,"[28,36,35]",239,111.666667,"[113,118,104]",240
25002,1,17.666667,"[30,23,0]",40.333333,"[67,54,0]",46.000000,"[60,78,0]",6154,6,6,1.466667,"[3,0,1,1,3,1,1,1,0,1,0,7,2,1,0]",1.200000,"[1,1,0,3,1,1,4,0,0,2,0,1,1,0,3]",23.000000,"[35,34,0]",49.000000,63.000000,"[91,98,0]",49.000000,"[71.000000,76.000000,0.000000]",26.666667,"[40,40,0]",249,86.333333,"[127,132,0]",250
26001,1,29.666667,"[31,32,26]",44.000000,"[46,49,37]",64.000000,"[63,56,73]",8234,6,6,1.600000,"[0,3,2,0,5,1,2,2,0,2,1,3,1,2,0]",1.200000,"[2,0,0,2,3,1,3,0,2,2,0,0,0,1,2]",29.666667,"[30,27,32]",66.466667,78.666667,"[79,78,79]",66.466667,"[71.200000,64.400000,63.800000]",29.666667,"[27,29,33]",259,108.000000,"[109,105,110]",260
27001,1,17.000000,"[17,13,21]",62.000000,"[63,58,65]",64.000000,"[62,74,56]",7875,8,8,2.066667,"[0,4,2,0,5,1,2,1,1,4,3,4,2,2,0]",1.733333,"[5,0,0,2,2,2,2,0,3,6,0,0,0,3,1]",34.000000,"[34,33,35]",84.000000,92.000000,"[91,98,87]",84.000000,"[84.400000,88.600000,79.000000]",30.000000,"[29,31,30]",269,126.000000,"[125,132,121]",270
28001,1,197.666667,"[196,199,198]",1.666667,"[3,0,2]",0.666667,"[1,1,0]",7706,8,8,2.066667,"[0,4,2,0,5,1,2,1,1,4,3,4,2,2,0]",1.733333,"[5,0,0,2,2,2,2,1,3,5,1,0,0,2,1]",2.000000,"[4,0,2]",1.866667,0.000000,"[0,0,0]",1.866667,"[2.600000,1.000000,2.000000]",0.333333,"[1,0,0]",279,2.333333,"[4,1,2]",280
29001,1,196.000000,"[197,195,196]",2.333333,"[3,2,2]",1.666667,"[0,3,2]",7870,7,7,1.800000,"[0,3,2,1,4,1,2,1,1,3,2,4,1,2,0]",1.266667,"[4,0,0,1,2,1,2,0,2,5,0,0,0,2,0]",3.000000,"[2,4,3]",2.133333,0.000000,"[0,0,0]",2.133333,"[3.000000,3.600000,-0.200000]",1.333333,"[0,1,3]",289,4.000000,"[3,5,4]",290
30001,1,3.666667,"[4,5,2]",82.000000,"[77,88,81]",66.333333,"[72,58,69]",8618,5,5,1.133333,"[1,0,1,1,3,1,2,0,1,2,1,0,2,2,0]",1.000000,"[1,1,1,1,3,1,2,0,0,3,0,0,0,1,1]",34.000000,"[32,35,35]",61.533333,114.000000,"[117,110,115]",61.533333,"[74.800000,64.800000,45.000000]",62.000000,"[53,58,75]",299,148.333333,"[149,146,150]",300
31001,1,5.000000,"[5,6,4]",70.666667,"[64,68,80]",79.666667,"[87,82,70]",11975,5,5,1.200000,"[0,0,1,1,2,1,2,2,1,3,1,0,2,2,0]",1.000000,"[1,1,1,1,3,1,3,0,0,2,0,1,0,1,0]",34.000000,"[33,35,34]",67.733333,116.000000,"[117,116,115]",67.733333,"[65.600000,66.000000,71.600000]",59.000000,"[61,60,56]",309,150.333333,"[151,150,150]",310
32001,1,25.333333,"[23,24,29]",52.000000,"[54,48,54]",63.333333,"[62,70,58]",7328,6,6,1.533333,"[1,1,2,1,3,1,2,0,1,3,1,2,3,2,0]",1.133333,"[3,0,0,2,1,2,2,1,0,4,0,0,0,1,1]",32.000000,"[32,32,32]",68.200000,82.666667,"[83,86,79]",68.200000,"[64.200000,73.200000,67.200000]",33.666667,"[37,32,32]",319,115.333333,"[116,118,112]",320
33001,1,277.666667,"[298,274,261]",5.000000,"[1,8,6]",5.666667,"[0,6,11]",10038,8,8,2.066667,"[0,4,2,1,5,1,2,0,2,4,3,4,1,2,0]",1.733333,"[5,0,0,2,2,1,2,0,3,6,0,1,0,3,1]",8.000000,"[0,14,10]",6.000000,2.000000,"[0,0,6]",6.000000,"[1.000000,9.800000,7.200000]",3.333333,"[0,3,7]",329,10.666667,"[1,14,17]",330
34001,1,19.333333,"[18,23,17]",53.333333,"[51,52,57]",73.000000,"[80,74,65]",10191,6,6,1.533333,"[0,3,3,1,4,1,1,0,1,2,2,3,1,1,0]",1.333333,"[4,0,0,2,1,2,1,0,2,5,0,0,0,2,1]",34.000000,"[35,33,34]",67.066667,92.333333,"[96,93,88]",67.066667,"[75.000000,67.200000,59.000000]",42.333333,"[40,42,45]",339,126.333333,"[131,126,122]",340
35001,1,311.000000,"[389,159,385]",13.333333,"[0,39,1]",15.333333,"[2,41,3]",10235,6,6,1.533333,"[1,2,3,1,4,1,1,0,1,1,3,3,1,1,0]",1.333333,"[4,0,0,2,1,2,0,1,2,5,0,0,0,2,1]",4.000000,"[1,7,4]",8.600000,24.333333,"[1,72,0]",8.600000,"[2.000000,21.200000,2.600000]",14.333333,"[0,42,1]",349,28.666667,"[2,80,4]",350
36001,1,20.000000,"[22,18,20]",61.666667,"[63,53,69]",59.333333,"[55,69,54]",10026,5,5,1.266667,"[0,1,3,1,3,1,1,2,1,2,0,2,1,1,0]",1.066667,"[3,0,0,2,1,2,1,0,1,4,0,0,0,1,1]",31.666667,"[31,32,32]",74.800000,88.666667,"[86,90,90]",74.800000,"[74.600000,71.600000,78.200000]",33.000000,"[31,36,32]",359,121.000000,"[118,122,123]",360
37001,1,17.666667,"[13,22,18]",56.666667,"[60,56,54]",65.000000,"[68,63,64]",9602,6,6,1.533333,"[0,1,4,1,4,1,1,3,1,1,2,2,1,1,0]",1.333333,"[4,0,0,2,1,2,1,1,2,4,0,0,0,2,1]",33.666667,"[35,34,32]",71.733333,88.333333,"[93,86,86]",71.733333,"[77.600000,72.800000,64.800000]",35.666667,"[36,33,38]",369,121.666667,"[128,119,118]",370
38001,1,37.666667,"[37,45,31]",56.666667,"[63,51,56]",52.333333,"[47,53,57]",10062,4,4,1.000000,"[1,1,2,1,2,1,1,0,1,1,1,1,1,1,0]",0.800000,"[2,0,0,1,1,1,1,0,1,1,0,0,1,2,1]",34.000000,"[33,35,34]",67.933333,74.666667,"[76,70,78]",67.933333,"[79.200000,60.600000,64.000000]",29.333333,"[22,31,35]",379,109.000000,"[110,104,113]",380
39001,1,16.666667,"[19,10,21]",52.333333,"[53,49,55]",69.666667,"[62,85,62]",11313,6,6,1.466667,"[1,1,3,1,3,1,2,0,2,2,1,3,0,2,0]",1.133333,"[3,0,0,2,2,2,2,0,1,2,0,0,0,2,1]",31.000000,"[28,32,33]",76.266667,90.000000,"[86,101,83]",76.266667,"[59.000000,89.200000,80.600000]",32.666667,"[40,32,26]",389,122.000000,"[115,134,117]",390
40001,1,18.000000,"[15,17,22]",53.666667,"[50,55,56]",69.666667,"[76,71,62]",12439,7,7,1.333333,"[0,0,3,1,4,2,1,1,1,1,2,2,1,1,0]",1.466667,"[5,0,0,2,1,2,1,0,2,4,0,0,2,2,1]",32.666667,"[35,31,32]",73.866667,90.333333,"[91,94,86]",73.866667,"[77.000000,82.600000,62.000000]",35.333333,"[35,31,40]",399,123.333333,"[126,126,118]",400
41001,1,391.333333,"[391,386,397]",1.000000,"[1,1,1]",2.000000,"[3,3,0]",12371,6,6,1.466667,"[0,2,3,1,3,1,2,0,3,1,0,3,1,2,0]",1.200000,"[2,0,0,3,2,3,2,2,0,3,0,0,1,0,0]",2.333333,"[3,3,1]",2.066667,0.000000,"[0,0,0]",2.066667,"[2.600000,2.600000,1.000000]",0.666667,"[1,1,0]",409,3.000000,"[4,4,1]",410
42001,1,16.333333,"[18,13,18]",59.666667,"[51,66,62]",65.000000,"[68,62,65]",11503,5,5,1.133333,"[0,0,3,1,3,1,1,0,1,1,1,3,1,1,0]",1.000000,"[3,0,0,2,1,2,1,0,1,2,0,0,1,1,1]",31.000000,"[32,30,31]",84.066667,93.000000,"[86,97,96]",84.066667,"[79.800000,83.200000,89.200000]",29.000000,"[28,32,27]",419,124.666667,"[119,128,127]",420
43001,1,17.000000,"[13,22,16]",57.333333,"[53,67,52]",65.000000,"[75,49,71]",11872,6,6,1.400000,"[0,0,3,1,3,1,2,0,1,2,1,4,1,2,0]",1.133333,"[3,0,0,2,2,2,2,0,1,2,0,0,1,1,1]",31.666667,"[33,30,32]",76.133333,90.000000,"[94,85,91]",76.133333,"[93.000000,54.400000,81.000000]",33.000000,"[25,44,30]",429,122.333333,"[128,116,123]",430
44001,1,18.000000,"[13,19,22]",54.666667,"[55,57,52]",63.666667,"[69,59,63]",10450,5,5,1.133333,"[0,0,2,1,2,1,1,0,1,2,1,3,2,1,0]",0.933333,"[2,0,1,2,1,1,1,0,1,2,0,0,1,1,1]",31.666667,"[32,33,30]",70.266667,86.000000,"[91,82,85]",70.266667,"[75.000000,65.600000,70.200000]",34.333333,"[35,36,32]",439,118.333333,"[124,116,115]",440
45001,1,0.000000,"[0,0,0]",47.333333,"[49,46,47]",52.666667,"[51,54,53]",10587,5,5,1.066667,"[0,0,2,2,1,2,1,0,0,2,1,2,2,1,0]",0.866667,"[2,0,0,1,1,1,1,1,1,1,0,0,2,1,1]",3.000000,"[3,3,3]",33.266667,96.666667,"[96,97,97]",33.266667,"[30.000000,32.800000,37.000000]",47.666667,"[50,48,45]",449,100.000000,"[100,100,100]",450
46001,1,199.000000,"[199,199,199]",0.000000,"[0,0,0]",1.000000,"[1,1,1]",11365,5,5,1.000000,"[0,0,2,2,2,0,1,0,1,2,1,1,0,3,0]",1.000000,"[2,0,0,2,1,2,1,1,1,2,0,0,1,1,1]",0.000000,"[0,0,0]",1.000000,0.000000,"[0,0,0]",1.000000,"[1.000000,1.000000,1.000000]",0.000000,"[0,0,0]",459,1.000000,"[1,1,1]",460
47001,1,16.333333,"[18,14,17]",62.333333,"[59,71,57]",60.666667,"[61,59,62]",12268,6,6,1.066667,"[0,0,4,0,2,3,1,1,1,1,1,1,0,1,0]",1.066667,"[5,0,0,1,1,1,1,0,1,2,0,0,3,1,0]",32.666667,"[34,35,29]",79.133333,90.333333,"[86,94,91]",79.133333,"[78.000000,85.200000,74.200000]",31.333333,"[30,32,32]",469,123.000000,"[120,130,119]",470
48001,1,19.666667,"[17,21,21]",63.666667,"[55,72,64]",57.666667,"[71,48,54]",9643,5,5,1.133333,"[1,0,3,1,2,1,1,0,1,1,1,3,1,1,0]",1.000000,"[2,0,0,3,2,1,1,1,1,1,0,0,1,1,1]",33.666667,"[33,35,33]",82.600000,87.666667,"[93,85,85]",82.600000,"[88.200000,75.200000,84.400000]",27.666667,"[27,32,24]",479,121.333333,"[126,120,118]",480
49001,1,20.000000,"[21,18,21]",53.000000,"[50,57,52]",65.333333,"[64,66,66]",10448,5,5,1.133333,"[0,0,3,1,2,1,1,0,1,1,1,3,2,1,0]",1.000000,"[2,0,0,3,2,1,1,1,1,1,0,0,1,1,1]",33.333333,"[34,34,32]",74.000000,85.000000,"[80,89,86]",74.000000,"[70.600000,88.000000,63.400000]",31.666667,"[31,25,39]",489,118.333333,"[114,123,118]",490
50001,1,18.000000,"[17,14,23]",57.000000,"[60,54,57]",65.000000,"[67,70,58]",12184,4,4,0.800000,"[0,0,2,0,2,1,1,1,1,1,1,1,0,1,0]",0.800000,"[3,0,0,1,1,1,1,0,1,2,0,0,1,1,0]",30.333333,"[31,29,31]",74.400000,91.666667,"[96,95,84]",74.400000,"[83.600000,76.400000,63.200000]",34.000000,"[31,34,37]",499,122.000000,"[127,124,115]",500
51001,1,16.333333,"[18,12,19]",63.666667,"[63,65,63]",62.333333,"[60,66,61]",10614,6,6,1.133333,"[1,0,3,0,3,3,1,1,1,1,1,1,0,1,0]",1.133333,"[5,0,1,2,1,1,1,0,1,2,0,0,2,1,0]",34.333333,"[34,34,35]",62.066667,91.000000,"[89,96,88]",62.066667,"[55.800000,58.200000,72.200000]",45.666667,"[48,52,37]",509,126.000000,"[123,131,124]",510
52001,1,17.000000,"[21,17,13]",53.666667,"[59,53,49]",69.000000,"[61,68,78]",12778,6,6,1.333333,"[0,0,6,0,2,3,1,1,1,1,1,1,2,1,0]",1.066667,"[5,0,0,1,1,1,1,0,1,2,1,0,2,1,0]",33.333333,"[34,33,33]",83.000000,89.333333,"[87,88,93]",83.000000,"[76.600000,74.800000,97.600000]",28.333333,"[31,33,21]",519,122.666667,"[120,121,127]",520
53001,1,17.666667,"[22,14,17]",54.000000,"[61,51,50]",67.000000,"[56,75,70]",9880,6,6,1.533333,"[2,0,4,1,3,1,1,1,1,1,1,3,1,1,2]",1.266667,"[5,0,0,3,1,2,1,0,1,3,0,1,1,1,0]",29.666667,"[28,28,33]",61.266667,90.666667,"[88,97,87]",61.266667,"[45.600000,67.200000,71.000000]",42.666667,"[51,42,35]",529,121.000000,"[117,126,120]",530
54001,1,17.333333,"[16,20,16]",58.000000,"[64,55,55]",65.333333,"[65,62,69]",10094,4,4,0.866667,"[1,0,2,0,2,1,2,1,1,1,1,0,0,1,0]",0.733333,"[3,0,0,1,1,1,1,0,1,1,0,0,1,1,0]",32.000000,"[34,30,32]",79.000000,90.333333,"[94,86,91]",79.000000,"[91.200000,66.600000,79.200000]",31.666667,"[27,36,32]",539,123.333333,"[129,117,124]",540
55001,1,19.333333,"[18,23,17]",59.666667,"[56,63,60]",68.666667,"[73,63,70]",8339,6,6,1.266667,"[0,0,3,0,4,1,1,1,1,1,2,2,2,1,0]",1.200000,"[4,0,0,2,1,2,1,1,2,2,0,0,0,3,0]",33.000000,"[32,35,32]",48.533333,95.000000,"[96,90,99]",48.533333,"[40.800000,51.800000,53.000000]",57.000000,"[63,53,55]",549,128.333333,"[129,126,130]",550
56001,1,27.666667,"[22,31,30]",62.000000,"[53,66,67]",64.000000,"[76,59,57]",11918,8,8,1.866667,"[1,0,4,1,3,1,2,0,1,3,1,5,3,3,0]",1.200000,"[2,0,0,2,5,1,2,1,1,1,0,0,1,1,1]",34.333333,"[33,35,35]",73.266667,91.333333,"[95,90,89]",73.266667,"[78.600000,78.800000,62.400000]",37.666667,"[36,33,44]",559,126.000000,"[129,125,124]",560
57001,1,20.666667,"[22,19,21]",55.666667,"[51,52,64]",63.000000,"[65,65,59]",12227,8,8,1.800000,"[2,1,5,2,2,1,1,1,1,3,1,4,2,1,0]",1.200000,"[4,0,0,3,3,1,1,1,1,1,0,0,1,1,1]",33.000000,"[34,32,33]",74.800000,86.000000,"[81,86,91]",74.800000,"[72.600000,63.800000,88.000000]",31.333333,"[31,38,25]",569,118.666667,"[116,117,123]",570
58001,1,84.333333,"[79,88,86]",52.000000,"[55,51,50]",47.000000,"[45,46,50]",13591,8,8,1.733333,"[1,0,5,1,2,1,1,0,1,3,2,4,3,2,0]",1.133333,"[2,0,0,1,4,1,1,2,2,1,0,0,1,2,0]",32.666667,"[32,33,33]",59.800000,65.666667,"[67,64,66]",59.800000,"[52.400000,60.600000,66.400000]",28.000000,"[34,26,24]",579,99.000000,"[100,97,100]",580
59001,1,30.333333,"[34,30,27]",57.000000,"[60,61,50]",54.000000,"[49,53,60]",12221,5,5,1.000000,"[1,0,3,1,3,2,1,1,1,1,0,0,0,1,0]",0.933333,"[3,0,0,2,1,1,1,0,1,2,0,0,2,1,0]",30.333333,"[32,28,31]",62.466667,80.333333,"[77,86,78]",62.466667,"[69.800000,53.800000,63.800000]",34.666667,"[28,43,33]",589,111.000000,"[109,114,110]",590
60001,1,26.666667,"[0,80,0]",12.000000,"[0,36,0]",14.333333,"[0,43,0]",14067,4,4,0.800000,"[0,0,3,1,1,2,1,1,0,2,0,0,0,1,0]",0.666667,"[3,0,1,0,1,0,1,0,1,0,0,0,2,1,0]",1.333333,"[0,4,0]",6.266667,25.333333,"[0,76,0]",6.266667,"[0.000000,18.800000,0.000000]",14.333333,"[0,43,0]",599,26.333333,"[0,79,0]",600
61001,1,198.000000,"[196,199,199]",1.000000,"[3,0,0]",0.666667,"[0,1,1]",13021,6,6,1.200000,"[1,1,5,1,2,2,1,1,2,1,0,0,0,1,0]",1.066667,"[4,0,0,2,1,1,1,0,1,2,0,0,3,1,0]",1.000000,"[3,0,0]",1.666667,0.000000,"[0,0,0]",1.666667,"[3.000000,1.000000,1.000000]",0.000000,"[0,0,0]",609,1.666667,"[3,1,1]",610
62001,1,15.666667,"[13,17,17]",51.333333,"[52,46,56]",66.666667,"[75,68,57]",12325,5,5,1.133333,"[1,0,3,1,2,1,2,2,1,2,0,0,0,2,0]",0.933333,"[3,0,0,2,2,1,2,0,1,1,0,0,1,1,0]",31.000000,"[32,30,31]",67.600000,86.666667,"[95,84,81]",67.600000,"[76.600000,66.400000,59.800000]",36.000000,"[36,34,38]",619,118.000000,"[127,114,113]",620
63001,1,21.333333,"[20,21,23]",60.666667,"[61,52,69]",55.333333,"[57,61,48]",13402,6,6,1.266667,"[1,1,3,1,2,1,2,2,2,2,0,0,0,2,0]",1.066667,"[3,0,0,2,2,1,2,0,1,2,0,0,2,1,0]",32.666667,"[32,31,35]",67.933333,82.333333,"[85,81,81]",67.933333,"[70.400000,73.800000,59.600000]",34.333333,"[34,28,41]",629,116.000000,"[118,113,117]",630
64001,1,18.666667,"[14,19,23]",58.000000,"[55,68,51]",63.000000,"[71,54,64]",14074,5,5,0.933333,"[1,0,4,1,2,1,1,1,1,1,0,0,0,1,0]",0.866667,"[3,0,0,1,1,1,1,0,1,2,0,0,2,1,0]",33.333333,"[33,33,34]",81.333333,87.000000,"[92,89,80]",81.333333,"[82.600000,81.400000,80.000000]",28.333333,"[31,29,25]",639,121.000000,"[126,122,115]",640
65001,1,19.000000,"[16,15,26]",53.000000,"[55,48,56]",61.000000,"[59,72,52]",10726,4,4,0.866667,"[1,0,2,1,3,1,1,1,1,1,0,0,0,1,0]",0.800000,"[3,0,0,2,1,1,1,0,1,1,0,0,1,1,0]",29.333333,"[28,28,32]",68.733333,84.333333,"[85,92,76]",68.733333,"[65.000000,68.200000,73.000000]",32.333333,"[35,37,25]",649,114.000000,"[114,120,108]",650
66001,1,17.666667,"[18,19,16]",61.000000,"[70,47,66]",61.666667,"[55,67,63]",9463,4,4,0.866667,"[1,0,2,1,3,1,1,1,1,1,0,0,0,1,0]",0.800000,"[3,0,0,2,1,1,1,0,1,1,0,0,1,1,0]",33.333333,"[34,32,34]",85.333333,89.666667,"[91,83,95]",85.333333,"[88.600000,72.000000,95.400000]",26.666667,"[26,30,24]",659,122.666667,"[125,114,129]",660
67001,1,16.666667,"[18,13,19]",59.000000,"[57,63,57]",64.666667,"[64,66,64]",13455,7,7,1.333333,"[1,0,7,2,2,3,1,1,1,1,0,0,0,1,0]",1.200000,"[5,0,0,1,1,1,1,0,2,1,0,1,3,2,0]",33.666667,"[33,34,34]",76.066667,89.666667,"[88,94,87]",76.066667,"[69.200000,85.600000,73.400000]",34.000000,"[37,31,34]",669,123.666667,"[121,129,121]",670
68002,1,18.000000,"[14,20,20]",59.000000,"[48,69,60]",63.000000,"[78,50,61]",9064,6,6,1.200000,"[3,0,3,1,4,1,1,0,2,1,0,0,0,2,0]",1.333333,"[3,0,0,4,1,2,1,0,1,3,2,0,1,2,0]",33.333333,"[34,33,33]",77.666667,88.000000,"[92,85,87]",77.666667,"[82.600000,75.600000,74.800000]",31.666667,"[31,31,33]",679,122.000000,"[126,119,121]",680
69001,1,196.666667,"[195,197,198]",2.333333,"[4,2,1]",0.333333,"[0,0,1]",9539,5,5,0.933333,"[2,0,2,1,2,1,1,0,1,1,1,0,0,2,0]",1.066667,"[2,0,0,3,1,1,1,0,1,2,2,0,1,2,0]",2.333333,"[3,2,2]",2.200000,0.000000,"[0,0,0]",2.200000,"[4.000000,2.000000,0.600000]",0.333333,"[0,0,1]",689,2.666667,"[4,2,2]",690
70001,1,0.000000,"[0,0,0]",50.333333,"[52,44,55]",49.666667,"[48,56,45]",13472,4,4,0.666667,"[0,0,3,0,1,2,1,1,0,1,0,0,0,1,0]",0.600000,"[2,0,0,0,1,1,1,0,1,0,0,0,2,1,0]",3.000000,"[3,3,3]",38.866667,96.666667,"[96,97,97]",38.866667,"[41.200000,38.400000,37.000000]",43.666667,"[42,44,45]",699,100.000000,"[100,100,100]",700
71001,1,21.333333,"[26,17,21]",62.666667,"[59,61,68]",56.666667,"[51,65,54]",9011,5,5,0.933333,"[2,0,2,1,3,1,1,0,1,1,0,0,0,2,0]",1.066667,"[2,0,0,3,1,1,1,0,1,2,2,0,1,2,0]",34.000000,"[35,34,33]",82.933333,85.000000,"[74,91,90]",82.933333,"[77.800000,77.000000,94.000000]",26.000000,"[23,35,20]",709,119.333333,"[110,126,122]",710
72001,1,0.333333,"[0,1,0]",37.666667,"[0,54,59]",28.666667,"[0,45,41]",10294,3,3,0.533333,"[0,0,2,1,1,1,1,0,0,1,0,0,0,1,0]",0.533333,"[2,0,0,1,1,0,1,0,1,0,0,0,1,1,0]",2.000000,"[0,3,3]",20.133333,64.333333,"[0,96,97]",20.133333,"[0.000000,23.400000,37.000000]",33.000000,"[0,54,45]",719,66.333333,"[0,99,100]",720
73001,1,16.666667,"[23,17,10]",57.666667,"[56,53,64]",65.666667,"[60,71,66]",13734,5,5,0.933333,"[0,0,5,0,2,1,2,1,1,1,0,0,0,1,0]",0.866667,"[2,0,0,1,1,2,1,0,1,1,0,1,2,1,0]",33.666667,"[33,33,35]",82.733333,89.333333,"[82,91,95]",82.733333,"[76.800000,83.400000,88.000000]",29.000000,"[28,29,30]",729,123.333333,"[116,124,130]",730
74001,1,1.000000,"[1,2,0]",0.333333,"[1,0,0]",0.666667,"[0,1,1]",8468,6,6,1.266667,"[1,0,3,1,4,0,2,0,1,2,0,0,1,3,1]",1.200000,"[3,0,0,3,2,1,2,0,2,1,1,0,0,2,1]",0.000000,"[0,0,0]",1.000000,0.000000,"[0,0,0]",1.000000,"[1.000000,1.000000,1.000000]",0.000000,"[0,0,0]",739,1.000000,"[1,1,1]",740
75001,1,21.333333,"[21,20,23]",51.666667,"[51,50,54]",61.333333,"[66,64,54]",19037,6,6,1.133333,"[2,0,1,1,4,1,1,1,1,2,1,0,1,1,0]",1.133333,"[4,0,0,1,1,1,1,0,3,1,0,1,1,3,0]",31.666667,"[33,32,30]",58.866667,80.666667,"[84,81,77]",58.866667,"[70.800000,60.800000,45.000000]",38.666667,"[33,38,45]",749,113.000000,"[117,114,108]",750
76001,1,93.333333,"[94,92,94]",53.000000,"[54,57,48]",53.666667,"[52,51,58]",14429,5,5,1.000000,"[2,0,2,1,3,1,1,0,2,2,0,0,0,1,0]",0.866667,"[4,0,0,1,1,1,1,0,2,1,0,0,0,2,0]",32.666667,"[33,32,33]",58.600000,73.666667,"[73,76,72]",58.600000,"[61.200000,60.400000,54.200000]",34.333333,"[32,34,37]",759,106.666667,"[106,108,106]",760
77001,1,0.333333,"[1,0,0]",1.666667,"[1,4,0]",9.666667,"[14,4,11]",16531,5,5,1.133333,"[2,0,4,0,3,1,1,1,2,2,0,0,0,1,0]",0.933333,"[4,0,0,2,1,2,1,0,1,2,0,0,0,1,0]",7.666667,"[9,8,6]",10.400000,3.333333,"[6,0,4]",10.400000,"[13.600000,6.600000,11.000000]",0.666667,"[1,1,0]",769,11.333333,"[15,8,11]",770
78001,1,194.000000,"[195,191,196]",1.333333,"[0,2,2]",2.000000,"[1,3,2]",9225,6,6,1.466667,"[1,0,4,1,4,2,1,1,1,2,0,1,0,4,0]",1.000000,"[3,1,0,2,1,1,1,0,1,1,1,0,0,1,2]",3.000000,"[1,5,3]",1.000000,0.000000,"[0,0,0]",1.000000,"[1.000000,-0.600000,2.600000]",1.666667,"[0,4,1]",779,3.333333,"[1,5,4]",780
79001,1,0.000000,"[0,0,0]",49.333333,"[45,53,50]",53.000000,"[60,49,50]",16588,5,5,1.133333,"[1,0,3,0,2,1,2,2,1,3,0,0,0,2,0]",0.800000,"[2,0,0,1,2,2,2,0,1,1,0,0,0,1,0]",9.000000,"[16,8,3]",37.466667,94.000000,"[90,95,97]",37.466667,"[42.000000,36.200000,34.200000]",46.333333,"[45,47,47]",789,102.333333,"[105,102,100]",790
80001,1,15.333333,"[14,16,16]",59.666667,"[61,63,55]",64.666667,"[67,61,66]",10125,8,8,1.666667,"[2,0,3,0,6,1,1,1,1,2,0,1,3,4,0]",1.666667,"[4,0,0,4,2,2,2,0,3,2,2,0,0,3,1]",33.333333,"[31,34,35]",74.866667,91.000000,"[97,90,86]",74.866667,"[79.000000,75.000000,70.600000]",35.333333,"[35,35,36]",799,124.333333,"[128,124,121]",800
81001,1,198.666667,"[198,199,199]",0.666667,"[1,1,0]",0.333333,"[0,0,1]",18625,5,5,1.133333,"[1,0,2,0,4,0,1,2,2,3,0,1,0,1,0]",1.066667,"[4,0,0,2,1,2,1,0,2,2,0,0,0,2,0]",0.000000,"[0,0,0]",1.000000,0.000000,"[0,0,0]",1.000000,"[1.000000,1.000000,1.000000]",0.000000,"[0,0,0]",809,1.000000,"[1,1,1]",810
82001,1,18.666667,"[19,19,18]",51.333333,"[57,50,47]",68.000000,"[62,67,75]",11509,5,5,0.933333,"[1,0,2,0,3,1,1,2,1,1,0,0,1,1,0]",0.866667,"[2,0,0,2,1,1,1,0,1,1,1,1,0,1,1]",33.333333,"[34,33,33]",75.000000,85.000000,"[84,83,88]",75.000000,"[75.600000,70.800000,78.600000]",31.666667,"[31,33,31]",819,119.333333,"[119,117,122]",820
83001,1,16.333333,"[20,18,11]",48.333333,"[45,56,44]",74.333333,"[71,68,84]",10056,7,7,1.333333,"[2,0,2,0,4,1,1,4,2,1,0,0,2,1,0]",1.333333,"[3,0,0,3,1,2,1,0,2,2,2,1,0,2,1]",28.333333,"[29,25,31]",65.733333,94.000000,"[86,98,98]",65.733333,"[64.200000,63.800000,69.200000]",40.666667,"[37,43,42]",829,122.666667,"[116,124,128]",830
84001,1,0.666667,"[1,1,0]",1.000000,"[1,1,1]",19.333333,"[25,15,18]",11740,8,8,2.000000,"[3,0,4,0,5,1,3,0,3,3,0,0,1,7,0]",1.600000,"[2,0,0,3,2,3,4,0,1,3,3,1,0,1,1]",13.000000,"[11,13,15]",18.933333,6.666667,"[15,2,3]",18.933333,"[24.600000,14.600000,17.600000]",1.000000,"[1,1,1]",839,20.333333,"[26,16,19]",840
85001,1,16.333333,"[14,16,19]",57.333333,"[57,65,50]",67.666667,"[66,64,73]",13667,7,7,1.666667,"[1,0,5,0,3,1,4,0,1,4,0,0,1,5,0]",1.200000,"[2,0,0,1,3,1,5,0,1,1,1,1,0,1,1]",32.666667,"[31,33,34]",81.133333,92.333333,"[92,95,90]",81.133333,"[74.000000,87.000000,82.400000]",31.333333,"[35,30,29]",849,125.000000,"[123,129,123]",850
86001,1,18.666667,"[14,24,18]",53.666667,"[52,58,51]",65.000000,"[74,53,68]",11326,8,8,1.866667,"[6,0,3,0,6,1,2,0,3,2,0,0,1,4,0]",1.733333,"[2,0,0,4,2,4,3,0,1,4,4,0,0,1,1]",32.333333,"[35,32,30]",75.266667,85.666667,"[90,79,88]",75.266667,"[84.000000,67.600000,74.200000]",31.000000,"[30,31,32]",859,118.666667,"[126,111,119]",860
