ID,alive,food0_AVE,food0_LIST,food1_AVE,food1_LIST,food2_AVE,food2_LIST,genomeLength,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_AVE,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_AVE,markovBrain_nodesConnections_LIST,novelty_AVE,novelty_LIST,optimizeValue,repeated_AVE,repeated_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,total_AVE,total_LIST,update
479001,1,22.333333,"[23,21,23]",59.666667,"[69,49,61]",61.000000,"[54,70,59]",14268,5,5,1.066667,"[1,2,1,1,1,1,2,0,0,0,1,2,1,3,0]",1.133333,"[1,2,0,2,2,2,2,3,0,0,0,0,1,2,0]",34.333333,"[35,33,35]",78.200000,85.666667,"[87,86,84]",78.200000,"[86.600000,72.800000,75.200000]",30.333333,"[26,33,32]",4789,120.666667,"[123,119,120]",4790
480001,1,27.333333,"[31,25,26]",62.333333,"[64,65,58]",57.666667,"[54,56,63]",13456,3,3,0.600000,"[0,0,0,1,1,1,1,1,0,0,1,1,0,1,1]",0.666667,"[1,1,0,1,1,1,1,2,0,0,0,0,1,1,0]",34.333333,"[34,35,34]",83.133333,85.333333,"[84,85,87]",83.133333,"[81.600000,83.200000,84.600000]",26.333333,"[26,27,26]",4799,120.000000,"[118,121,121]",4800
481001,1,30.000000,"[31,30,29]",62.000000,"[55,61,70]",63.333333,"[70,64,56]",12404,5,5,1.000000,"[0,3,0,0,2,1,2,0,0,1,2,2,0,2,0]",1.133333,"[1,2,0,2,2,2,2,3,0,0,0,0,1,2,0]",34.333333,"[35,35,33]",74.000000,91.000000,"[90,90,93]",74.000000,"[74.600000,76.000000,71.400000]",36.666667,"[36,35,39]",4809,125.333333,"[125,125,126]",4810
482001,1,31.666667,"[35,32,28]",60.000000,"[65,64,51]",69.000000,"[60,66,81]",14028,5,5,1.000000,"[0,4,0,0,2,1,2,0,0,0,2,2,0,2,0]",1.133333,"[1,2,0,2,2,1,3,3,0,0,0,1,1,1,0]",34.333333,"[34,34,35]",56.666667,94.666667,"[91,96,97]",56.666667,"[59.200000,60.000000,50.800000]",51.666667,"[47,50,58]",4819,129.000000,"[125,130,132]",4820
483001,1,28.333333,"[27,31,27]",58.666667,"[56,63,57]",57.666667,"[60,54,59]",14001,5,5,1.200000,"[4,1,0,0,1,1,1,1,0,0,4,3,0,1,1]",0.933333,"[1,1,0,1,1,1,1,2,1,0,0,2,2,1,0]",33.333333,"[35,34,31]",74.333333,83.000000,"[81,82,86]",74.333333,"[69.800000,76.400000,76.800000]",30.000000,"[33,29,28]",4829,116.333333,"[116,117,116]",4830
484001,1,30.000000,"[25,32,33]",62.333333,"[64,59,64]",62.000000,"[64,65,57]",12925,3,3,0.666667,"[0,1,0,0,1,1,1,0,0,0,2,2,0,1,1]",0.666667,"[1,1,0,1,1,1,1,2,1,0,0,0,0,1,0]",34.333333,"[33,35,35]",67.400000,89.333333,"[95,88,85]",67.400000,"[62.200000,75.000000,65.000000]",40.666667,"[47,35,40]",4839,124.333333,"[128,124,121]",4840
485001,1,23.666667,"[23,25,23]",51.333333,"[47,50,57]",68.333333,"[71,66,68]",10133,4,4,0.866667,"[0,1,2,0,1,1,2,1,0,0,2,1,0,2,0]",0.866667,"[1,1,0,1,2,1,2,1,3,0,0,0,0,1,0]",34.666667,"[34,35,35]",81.400000,85.666667,"[85,82,90]",81.400000,"[81.600000,74.000000,88.600000]",27.333333,"[26,30,26]",4849,119.666667,"[118,116,125]",4850
486001,1,17.000000,"[19,16,16]",55.000000,"[59,56,50]",61.666667,"[55,60,70]",11257,4,4,0.866667,"[0,1,3,0,1,2,1,0,0,0,3,1,0,1,0]",0.866667,"[2,1,0,1,1,1,1,2,3,0,0,0,0,1,0]",33.333333,"[34,35,31]",68.600000,83.333333,"[80,81,89]",68.600000,"[63.600000,71.200000,71.000000]",34.333333,"[36,32,35]",4859,116.666667,"[114,116,120]",4860
487001,1,26.666667,"[26,27,27]",59.000000,"[62,57,58]",60.000000,"[61,64,55]",11367,4,4,0.933333,"[0,2,1,0,1,1,1,1,0,0,3,2,0,1,1]",0.933333,"[1,2,0,2,1,1,2,2,1,0,0,0,0,2,0]",33.000000,"[35,35,29]",83.533333,86.000000,"[88,86,84]",83.533333,"[89.400000,83.200000,78.000000]",25.333333,"[24,27,25]",4869,119.000000,"[123,121,113]",4870
488001,1,28.666667,"[23,32,31]",56.000000,"[55,49,64]",58.000000,"[63,59,52]",10107,3,3,0.666667,"[0,1,1,0,1,1,1,1,0,0,2,1,0,1,0]",0.666667,"[1,1,0,1,1,1,1,1,2,0,0,0,0,1,0]",34.666667,"[35,34,35]",71.533333,78.666667,"[83,73,80]",71.533333,"[77.400000,60.400000,76.800000]",30.333333,"[29,34,28]",4879,114.000000,"[118,108,116]",4880
489001,1,30.333333,"[23,31,37]",62.666667,"[65,53,70]",59.666667,"[62,69,48]",10422,3,3,0.533333,"[0,1,1,0,1,1,1,0,0,0,1,1,0,1,0]",0.666667,"[1,1,0,1,1,1,1,0,1,0,0,0,0,2,1]",34.666667,"[35,35,34]",68.200000,88.000000,"[92,87,85]",68.200000,"[59.800000,70.200000,74.600000]",38.666667,"[48,37,31]",4889,122.333333,"[127,122,118]",4890
490001,1,23.666667,"[25,24,22]",61.666667,"[63,66,56]",57.666667,"[57,53,63]",10189,3,3,0.666667,"[0,2,1,0,1,1,1,1,0,0,1,1,0,1,0]",0.666667,"[1,1,0,1,1,1,1,1,2,0,0,0,0,1,0]",32.333333,"[33,31,33]",82.000000,86.666667,"[87,87,86]",82.000000,"[86.400000,81.200000,78.400000]",26.666667,"[24,27,29]",4899,119.333333,"[120,119,119]",4900
491001,1,26.000000,"[31,21,26]",63.000000,"[62,68,59]",56.000000,"[53,57,58]",8270,3,3,0.666667,"[0,1,0,0,1,1,1,1,0,0,2,1,1,1,0]",0.666667,"[1,1,0,1,1,1,1,1,2,0,0,0,0,1,0]",34.000000,"[34,35,33]",72.800000,84.333333,"[80,89,84]",72.800000,"[67.400000,77.400000,73.600000]",33.000000,"[34,34,31]",4909,119.000000,"[115,125,117]",4910
492002,1,24.000000,"[27,22,23]",60.000000,"[67,63,50]",59.333333,"[51,58,69]",10084,3,3,0.600000,"[0,1,1,0,1,1,1,1,0,0,1,0,1,1,0]",0.666667,"[1,1,0,1,1,1,1,1,2,0,0,0,0,1,0]",33.000000,"[33,33,33]",74.066667,86.333333,"[85,88,86]",74.066667,"[64.800000,84.600000,72.800000]",32.333333,"[38,26,33]",4919,119.333333,"[118,121,119]",4920
493001,1,26.333333,"[30,21,28]",58.666667,"[65,49,62]",57.666667,"[53,68,52]",10077,3,3,0.600000,"[0,1,1,0,2,1,1,0,0,0,1,0,1,1,0]",0.666667,"[1,1,0,1,1,1,1,1,2,0,0,0,0,1,0]",32.333333,"[33,30,34]",71.533333,83.333333,"[84,86,80]",71.533333,"[77.400000,68.000000,69.200000]",32.000000,"[29,35,32]",4929,116.333333,"[118,117,114]",4930
494001,1,26.000000,"[22,29,27]",55.666667,"[59,56,52]",62.000000,"[64,62,60]",11232,3,3,0.600000,"[0,1,1,0,1,1,1,1,0,0,1,0,1,1,0]",0.666667,"[1,1,0,1,1,1,1,1,1,1,0,0,0,1,0]",33.333333,"[34,31,35]",80.333333,84.333333,"[89,86,78]",80.333333,"[86.600000,78.800000,75.600000]",26.666667,"[26,28,26]",4939,117.666667,"[123,118,112]",4940
495001,1,25.000000,"[28,24,23]",61.000000,"[65,57,61]",59.000000,"[53,60,64]",11401,4,4,0.800000,"[0,1,2,0,2,1,2,0,0,0,1,0,1,2,0]",0.866667,"[1,1,0,1,2,1,2,1,3,0,0,0,0,1,0]",31.333333,"[32,28,34]",79.400000,88.000000,"[86,88,90]",79.400000,"[78.800000,76.400000,83.000000]",29.000000,"[28,29,30]",4949,120.000000,"[118,117,125]",4950
496001,1,22.333333,"[20,25,22]",59.000000,"[62,59,56]",59.666667,"[60,57,62]",9233,4,4,0.733333,"[0,1,1,0,3,2,1,0,0,0,1,0,1,1,0]",0.866667,"[2,1,0,1,1,1,1,2,3,0,0,0,0,1,0]",27.000000,"[32,28,21]",78.066667,91.333333,"[90,87,97]",78.066667,"[77.200000,79.600000,77.400000]",29.000000,"[32,26,29]",4959,118.666667,"[122,116,118]",4960
497001,1,24.333333,"[22,28,23]",56.333333,"[49,62,58]",65.000000,"[74,56,65]",8348,4,4,0.866667,"[0,2,1,0,3,1,1,0,0,0,2,0,2,1,0]",0.933333,"[1,2,0,2,1,2,1,1,1,1,0,0,0,2,0]",33.000000,"[35,33,31]",81.200000,88.000000,"[88,84,92]",81.200000,"[90.800000,70.400000,82.400000]",28.666667,"[23,34,29]",4969,121.333333,"[123,118,123]",4970
498001,1,26.000000,"[21,30,27]",59.000000,"[57,59,61]",58.333333,"[66,53,56]",8827,3,3,0.666667,"[0,1,1,1,1,1,1,1,0,0,2,0,0,1,0]",0.666667,"[1,1,0,1,1,1,1,1,1,1,0,0,0,1,0]",32.000000,"[32,31,33]",74.400000,85.666667,"[91,82,84]",74.400000,"[83.800000,70.000000,69.400000]",30.666667,"[28,30,34]",4979,117.333333,"[123,112,117]",4980
499001,1,21.666667,"[22,21,22]",58.000000,"[57,61,56]",63.000000,"[64,61,64]",7806,4,4,0.866667,"[0,2,1,0,3,1,1,0,0,0,2,0,2,1,0]",0.933333,"[1,2,0,2,1,2,1,1,1,1,0,0,0,2,0]",32.000000,"[35,27,34]",80.400000,88.333333,"[85,95,85]",80.400000,"[94.400000,81.400000,65.400000]",29.000000,"[19,29,39]",4989,121.000000,"[121,122,120]",4990
500001,1,17.333333,"[16,21,15]",50.000000,"[54,51,45]",76.000000,"[76,71,81]",17695,3,3,0.666667,"[0,1,1,0,2,1,1,0,0,0,2,0,1,1,0]",0.600000,"[1,1,0,1,1,1,1,0,2,0,0,0,0,1,0]",33.333333,"[35,34,31]",86.333333,93.000000,"[96,88,95]",86.333333,"[88.000000,81.400000,89.600000]",28.333333,"[30,29,26]",4999,126.000000,"[130,122,126]",5000
