0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,genomeLength_AVE,markovBrainDeterministicGates_AVE,markovBrainGates_AVE,markovBrainGates_VAR,optimizeValue_AVE,score_AVE,totalCorrect_AVE,totalIncorrect_AVE,update
0.470000,0.996000,0.512000,0.996000,0.512000,0.993500,0.534000,0.996000,0.480000,0.997000,0.490000,0.990000,0.488000,0.995500,0.452000,0.996000,0.544000,0.992000,0.494000,0.992000,5000.000000,95.636000,95.636000,4.111727,7.761125,7.761125,4.976000,44.742000,0
0.504000,0.995000,0.542000,0.998600,0.490000,0.995600,0.514000,0.982000,0.490000,0.991800,0.510000,0.996000,0.490000,0.996800,0.494000,0.998000,0.460000,1.000000,0.486000,0.997200,5009.824000,86.112000,86.112000,118.280016,7.773125,7.773125,4.980000,44.778000,10
0.498000,0.993600,0.488000,0.997500,0.500000,0.984000,0.470000,0.981600,0.528000,0.994000,0.498000,0.988000,0.480000,0.993000,0.496000,0.987000,0.474000,1.000000,0.512000,0.976000,5110.606000,80.232000,80.232000,174.671519,7.734625,7.734625,4.944000,44.530000,20
0.460000,0.997000,0.466000,0.984000,0.478000,0.980000,0.468000,0.962000,0.520000,0.977200,0.500000,0.970000,0.524000,0.994400,0.466000,0.982600,0.534000,0.974400,0.492000,0.970500,5171.562000,72.816000,72.816000,234.439022,7.631750,7.631750,4.908000,44.052000,30
0.502000,0.992900,0.462000,0.990000,0.518000,0.985800,0.490000,0.969500,0.468000,0.981800,0.470000,0.996200,0.484000,0.973200,0.504000,0.986000,0.510000,0.966300,0.492000,0.994600,5592.396000,71.748000,71.748000,250.196890,7.710375,7.710375,4.900000,44.278000,40
0.482000,0.980200,0.486000,0.980000,0.506000,0.997500,0.478000,0.938300,0.514000,0.973800,0.514000,0.979600,0.442000,0.911500,0.502000,0.965600,0.446000,0.952800,0.476000,0.978000,5727.990000,67.652000,67.652000,286.804505,7.529625,7.529625,4.846000,43.446000,50
0.504000,0.971000,0.498000,0.973000,0.502000,0.982000,0.476000,0.985700,0.490000,0.971200,0.452000,0.977000,0.500000,0.951500,0.470000,0.952600,0.488000,0.941200,0.458000,0.970100,6028.398000,65.202000,65.202000,212.582361,7.556750,7.556750,4.838000,43.532000,60
0.436000,0.970400,0.546000,0.979700,0.462000,0.980000,0.496000,0.955600,0.520000,0.974000,0.464000,0.963300,0.516000,0.974500,0.446000,0.974800,0.498000,0.976000,0.454000,0.950100,6170.244000,60.282000,60.282000,144.110697,7.587125,7.587125,4.838000,43.650000,70
0.466000,0.976600,0.472000,0.963500,0.514000,0.986000,0.444000,0.930200,0.484000,0.956600,0.496000,0.986100,0.480000,0.926500,0.474000,0.923400,0.470000,0.981500,0.494000,0.959200,6340.672000,56.154000,56.154000,152.928140,7.476625,7.476625,4.794000,43.146000,80
0.506000,0.956700,0.468000,0.974900,0.432000,0.976400,0.474000,0.948400,0.482000,0.963800,0.498000,0.969100,0.466000,0.928600,0.464000,0.942300,0.482000,0.953700,0.482000,0.949500,6517.212000,52.910000,52.910000,177.897695,7.525000,7.525000,4.754000,43.068000,90
0.438000,0.949600,0.484000,0.961800,0.488000,0.951500,0.500000,0.956400,0.458000,0.976500,0.488000,0.964200,0.500000,0.921000,0.466000,0.947800,0.476000,0.968100,0.460000,0.938100,6857.828000,52.704000,52.704000,151.190766,7.452500,7.452500,4.758000,42.912000,100
0.486000,0.973500,0.470000,0.993100,0.484000,0.966900,0.512000,0.972200,0.452000,0.949000,0.468000,0.988000,0.482000,0.929600,0.480000,0.922500,0.448000,0.959200,0.526000,0.959400,7192.864000,52.796000,52.796000,154.707800,7.491875,7.491875,4.808000,43.250000,110
0.484000,0.984400,0.510000,0.990200,0.516000,0.998800,0.484000,0.962700,0.490000,0.965200,0.466000,0.980000,0.452000,0.938100,0.476000,0.975900,0.474000,0.958500,0.488000,0.934300,7621.648000,55.370000,55.370000,173.484068,7.567875,7.567875,4.840000,43.598000,120
0.510000,0.972000,0.482000,0.996600,0.514000,0.996800,0.510000,0.975500,0.508000,0.970700,0.488000,0.993600,0.476000,0.942900,0.464000,0.994500,0.434000,0.942600,0.500000,0.964400,7923.566000,54.282000,54.282000,126.090657,7.596125,7.596125,4.886000,43.862000,130
0.500000,0.945400,0.492000,0.986800,0.458000,0.949000,0.474000,0.974500,0.522000,0.984400,0.480000,0.980400,0.478000,0.914900,0.436000,0.957100,0.498000,0.941300,0.460000,0.924400,7937.156000,49.582000,49.582000,95.590457,7.447500,7.447500,4.798000,43.000000,140
0.468000,0.923400,0.466000,0.982000,0.484000,0.971200,0.484000,0.939500,0.488000,0.986000,0.490000,0.974500,0.436000,0.915100,0.534000,0.960400,0.442000,0.927600,0.462000,0.950300,8439.054000,47.960000,47.960000,91.449299,7.441250,7.441250,4.754000,42.884000,150
0.454000,0.898400,0.478000,0.993900,0.476000,0.965200,0.446000,0.909600,0.482000,0.971700,0.520000,0.971000,0.490000,0.935300,0.446000,0.909600,0.468000,0.932200,0.464000,0.932800,9139.672000,45.930000,45.930000,94.706513,7.349375,7.349375,4.724000,42.390000,160
0.424000,0.905600,0.508000,0.981300,0.490000,0.957500,0.432000,0.900800,0.512000,0.977800,0.446000,0.960000,0.498000,0.949600,0.482000,0.905500,0.490000,0.934300,0.402000,0.884800,9424.396000,43.366000,43.366000,94.813671,7.294125,7.294125,4.684000,42.094000,170
0.468000,0.932300,0.516000,0.995000,0.502000,0.986300,0.456000,0.906800,0.450000,0.962700,0.496000,0.939800,0.478000,0.973500,0.452000,0.928500,0.464000,0.908500,0.448000,0.913400,9799.322000,41.528000,41.528000,71.303824,7.358250,7.358250,4.730000,42.504000,180
0.490000,0.920000,0.494000,0.984300,0.506000,0.996000,0.440000,0.845800,0.476000,0.960200,0.446000,0.920000,0.432000,0.967200,0.496000,0.942000,0.432000,0.905500,0.462000,0.899600,9865.274000,37.590000,37.590000,65.508918,7.317875,7.317875,4.674000,42.038000,190
0.452000,0.892600,0.492000,0.972200,0.502000,0.955700,0.412000,0.839700,0.482000,0.941800,0.436000,0.914400,0.478000,0.966200,0.458000,0.921900,0.446000,0.909500,0.464000,0.913000,10218.964000,35.932000,35.932000,65.554485,7.183750,7.183750,4.622000,41.508000,200
0.466000,0.892500,0.460000,0.939200,0.482000,0.969000,0.432000,0.868100,0.444000,0.892300,0.456000,0.921000,0.488000,0.906900,0.448000,0.909000,0.428000,0.910400,0.446000,0.926500,10615.954000,33.098000,33.098000,64.160717,7.153250,7.153250,4.550000,41.120000,210
0.448000,0.911600,0.488000,0.966200,0.490000,0.993600,0.418000,0.867100,0.458000,0.882600,0.454000,0.902100,0.426000,0.917100,0.488000,0.957100,0.432000,0.821300,0.464000,0.938500,11375.980000,35.144000,35.144000,50.780826,7.165625,7.165625,4.566000,41.210000,220
0.470000,0.914100,0.414000,0.930000,0.504000,0.971300,0.428000,0.894700,0.428000,0.881900,0.472000,0.919000,0.454000,0.863700,0.456000,0.928300,0.456000,0.884100,0.468000,0.916300,11560.932000,34.422000,34.422000,63.719355,7.105375,7.105375,4.550000,40.958000,230
0.482000,0.928100,0.462000,0.960000,0.470000,0.975000,0.450000,0.889900,0.500000,0.907400,0.496000,0.934300,0.446000,0.928500,0.412000,0.894700,0.488000,0.951000,0.448000,0.890400,11981.752000,34.554000,34.554000,46.744573,7.189000,7.189000,4.654000,41.644000,240
0.408000,0.904900,0.472000,0.895600,0.504000,0.967200,0.450000,0.906800,0.456000,0.886100,0.450000,0.924400,0.488000,0.946100,0.474000,0.921400,0.490000,0.939200,0.424000,0.906500,12117.616000,31.694000,31.694000,52.329022,7.170750,7.170750,4.616000,41.384000,250
