0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,ID,alive,genomeLength,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_AVE,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_AVE,markovBrain_nodesConnections_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,totalCorrect_AVE,totalIncorrect_AVE,totalIncorrect_LIST,update
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,1,5000,94,94,11.058824,"[5,8,14,8,11,11,12,11,19,20,10,13,7,16,18,12,15,9,11,7,10,5,9,8,14,13,7,11,12,12,10,9,10,9]",11.058824,"[14,5,9,13,11,11,15,15,18,25,18,12,9,10,5,7,6,11,8,12,4,6,12,15,8,6,11,11,5,14,16,14,11,9]",7.812500,7.812500,"[7.812500]",-1,5.000000,45.000000,"[45]",0
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5001,1,5000,86,86,10.117647,"[13,10,14,9,15,8,17,5,15,14,10,13,12,7,12,14,6,13,11,8,6,10,4,9,13,5,3,9,5,14,9,7,15,9]",10.117647,"[11,9,7,13,11,11,10,12,22,19,8,7,7,6,12,12,10,9,8,7,6,6,9,10,9,8,13,11,16,7,8,5,9,16]",7.812500,7.812500,"[7.812500]",9,5.000000,45.000000,"[45]",10
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,10001,1,6154,103,103,12.117647,"[15,14,9,12,10,15,9,11,18,17,14,5,16,17,11,11,17,17,10,9,7,10,3,9,11,18,12,14,17,13,11,10,8,12]",12.117647,"[10,14,8,7,10,16,9,17,23,23,7,11,4,12,12,6,12,18,7,14,7,7,14,18,6,13,9,20,10,8,14,7,21,18]",7.812500,7.812500,"[7.812500]",19,5.000000,45.000000,"[45]",20
0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,15001,1,5838,87,87,10.235294,"[14,12,12,10,14,1,11,22,20,12,13,7,11,10,11,7,11,10,11,8,8,7,12,11,12,9,11,12,10,4,7,9,8,1]",10.235294,"[8,15,9,7,13,12,5,17,18,25,9,10,13,5,19,7,12,9,13,5,12,5,5,9,6,7,13,8,13,7,7,5,9,11]",7.812500,7.812500,"[7.812500]",29,5.000000,45.000000,"[45]",30
0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,20001,1,5792,59,59,6.941176,"[5,11,12,7,10,4,4,14,18,4,4,4,8,7,10,7,7,4,6,2,10,3,11,4,9,6,6,4,3,6,10,3,12,1]",6.941176,"[6,16,5,7,5,8,5,7,13,12,8,7,9,10,16,6,8,4,8,5,11,9,4,5,10,3,2,2,8,1,4,3,5,4]",7.812500,7.812500,"[7.812500]",39,5.000000,45.000000,"[45]",40
0.000000,0.600000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.400000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,25001,1,4606,52,52,6.117647,"[11,6,4,3,5,8,2,2,9,9,5,5,11,7,8,3,7,8,8,2,4,3,5,7,5,4,11,7,13,5,5,5,3,8]",6.117647,"[5,5,9,5,10,6,5,8,12,11,2,5,3,6,4,0,10,6,6,6,2,3,5,13,10,6,3,9,8,4,6,1,8,6]",5.500000,5.500000,"[5.500000]",49,4.000000,36.000000,"[36]",50
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,30001,1,4418,39,39,4.588235,"[7,6,6,6,3,2,4,2,5,6,4,5,4,4,3,2,8,11,3,1,4,3,1,7,10,6,4,5,6,3,4,3,4,4]",4.588235,"[7,6,8,6,4,4,4,5,9,4,6,7,5,1,4,3,6,3,1,8,3,4,1,3,6,7,2,2,10,5,3,5,0,4]",4.687500,4.687500,"[4.687500]",59,4.000000,31.000000,"[31]",60
0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,35001,1,7386,61,61,7.176471,"[2,7,12,6,3,4,7,11,12,12,18,5,6,3,11,4,7,9,4,7,12,8,4,8,5,12,11,6,6,3,3,5,2,9]",7.176471,"[15,3,3,3,4,6,13,6,15,5,6,11,6,9,12,10,8,7,5,6,6,11,7,3,12,3,7,3,11,5,6,7,8,2]",7.812500,7.812500,"[7.812500]",69,5.000000,45.000000,"[45]",70
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,40001,1,6507,62,62,7.294118,"[9,5,7,2,2,5,8,7,10,19,5,2,9,3,6,7,7,14,5,11,6,5,11,10,1,1,6,5,9,5,11,11,14,10]",7.294118,"[9,5,4,13,9,6,11,3,9,6,5,6,17,5,6,9,7,6,11,7,4,6,15,0,6,9,10,4,5,9,4,8,5,9]",7.812500,7.812500,"[7.812500]",79,5.000000,45.000000,"[45]",80
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,45001,1,8641,69,69,8.117647,"[9,10,2,5,7,8,9,9,22,8,13,9,11,10,8,9,10,8,11,5,7,10,4,11,3,5,7,13,5,4,7,9,4,4]",8.117647,"[5,11,6,7,14,7,7,10,14,13,17,12,9,8,15,3,12,11,9,5,6,4,6,11,5,2,2,4,6,7,13,2,9,4]",7.812500,7.812500,"[7.812500]",89,5.000000,45.000000,"[45]",90
