0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,ID,alive,genomeLength,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_AVE,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_AVE,markovBrain_nodesConnections_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,totalCorrect_AVE,totalIncorrect_AVE,totalIncorrect_LIST,update
1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,50001,1,1797,130,130,7.027027,"[0,0,0,0,0,5,0,2,0,0,37,23,0,0,17,11,11,0,0,8,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,7,0,17,36,33,57,0,0,0,0,0,0,0,29,14]",7.027027,"[0,0,0,0,0,0,0,3,0,0,41,17,0,0,31,11,7,0,0,8,0,0,0,0,0,8,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,7,1,25,24,43,39,0,0,0,0,0,0,0,29,3]",3.125000,3.125000,"[3.125000]",99,4.000000,26.000000,"[26]",100
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,55001,1,1873,38,38,2.054054,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,5,13,9,1,18,0,6,6,18,13,0,0,0,0,20,0,0,0,0]",2.054054,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,8,1,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,6,14,0,6,12,11,6,24,8,0,0,0,0,26,0,0,0,1]",7.812500,7.812500,"[7.812500]",109,4.000000,41.000000,"[41]",110
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,60001,1,1767,85,85,4.594595,"[1,0,16,23,0,2,0,7,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,0,0,0,7,0,0,0,2,0,0,0,13,4,26,16,4,4,29,18,79,0,0,0,0,25,0,0,0,0]",4.594595,"[1,0,7,24,0,2,0,4,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,63,6,0,0,0,17,0,0,0,2,0,0,0,6,4,19,9,5,2,7,19,84,0,0,0,0,17,0,0,0,0]",7.812500,7.812500,"[7.812500]",119,4.000000,41.000000,"[41]",120
0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,65001,1,1996,44,44,2.378378,"[0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,0,12,8,7,2,13,6,15,0,24,29,0,0,0,0,22,0,0,0,0]",2.378378,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,5,0,0,0,0,0,11,6,4,13,0,17,1,22,15,0,0,0,0,12,0,0,0,11]",7.812500,7.812500,"[7.812500]",129,4.000000,41.000000,"[41]",130
0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,70001,1,1712,62,62,3.351351,"[0,0,22,0,0,0,0,16,0,0,0,0,0,0,0,29,9,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,9,0,0,0,0,0,0,0,13,11,0,6,1,25,0,14,30,0,0,0,0,33,0,0,0,0]",3.351351,"[0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,7,0,0,0,0,0,0,0,5,7,13,18,0,10,0,19,28,0,0,0,2,38,0,0,0,0]",3.125000,3.125000,"[3.125000]",139,5.000000,30.000000,"[30]",140
0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,75001,1,1991,133,133,7.189189,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,14,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,10,45,13,5,0,6,84,27,66,59,0,0,0,0,87,0,0,0,0]",7.189189,"[0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,4,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,13,14,29,11,0,3,90,24,58,50,0,0,0,1,54,0,0,0,0]",7.812500,7.812500,"[7.812500]",149,4.000000,41.000000,"[41]",150
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,80001,1,1900,56,56,3.027027,"[0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,2,0,0,0,0,0,2,3,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,4,6,20,0,4,16,0,19,32,11,0,0,0,0,58,0,0,0,0]",3.027027,"[0,0,5,0,0,0,0,0,0,15,0,1,0,0,0,6,3,0,0,0,0,0,1,14,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,4,16,2,5,12,2,26,23,6,0,0,0,0,44,0,0,0,0]",4.687500,4.687500,"[4.687500]",159,5.000000,35.000000,"[35]",160
1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,85001,1,1717,72,72,3.891892,"[0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,3,0,0,0,0,6,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,20,30,0,8,13,0,0,23,36,25,0,0,0,0,40,0,0,0,26]",3.891892,"[0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,0,0,10,0,0,0,0,30,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,13,6,0,13,8,7,0,11,31,32,0,0,0,0,29,0,0,0,28]",4.687500,4.687500,"[4.687500]",169,4.000000,31.000000,"[31]",170
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,90001,1,1506,92,92,4.972973,"[0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,21,73,24,21,11,3,3,33,14,46,0,0,0,0,7,0,0,0,0]",4.972973,"[0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,2,0,49,0,0,0,0,0,0,0,0,0,0,0,14,82,10,20,4,3,0,36,8,62,0,0,0,0,9,0,0,0,9]",7.812500,7.812500,"[7.812500]",179,5.000000,45.000000,"[45]",180
0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,95001,1,1858,119,119,6.432432,"[0,0,0,0,0,0,0,0,0,1,1,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,8,89,35,32,17,23,0,32,10,74,0,0,0,1,10,0,0,0,4]",6.432432,"[0,0,0,0,0,0,0,0,0,12,0,25,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,2,85,27,35,20,15,5,27,23,104,0,0,0,0,10,0,0,0,4]",7.812500,7.812500,"[7.812500]",189,4.000000,41.000000,"[41]",190
0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,100001,1,1776,147,147,7.945946,"[0,0,0,0,0,0,7,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,149,0,0,0,0,0,0,0,0,0,8,7,32,22,7,0,27,6,46,36,39,78,0,0,0,0,65,0,0,0,0]",7.945946,"[0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,132,0,0,0,0,0,0,0,0,0,6,6,44,35,0,0,54,4,61,20,5,76,0,0,0,0,85,0,0,0,0]",7.812500,7.812500,"[7.812500]",199,4.000000,41.000000,"[41]",200
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,105001,1,1995,62,62,3.351351,"[0,0,1,12,0,0,0,0,0,5,0,0,19,0,0,0,4,1,0,4,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,20,15,8,6,2,11,17,5,3,33,0,1,0,0,34,0,0,0,0]",3.351351,"[0,0,0,5,0,0,0,0,0,14,0,0,37,0,0,4,3,1,0,13,0,0,0,0,0,2,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,18,22,17,9,2,7,3,7,2,6,0,0,0,0,38,0,0,0,0]",7.812500,7.812500,"[7.812500]",209,5.000000,45.000000,"[45]",210
