0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,genomeLength_AVE,markovBrainDeterministicGates_AVE,markovBrainGates_AVE,markovBrainGates_VAR,optimizeValue_AVE,score_AVE,totalCorrect_AVE,totalIncorrect_AVE,update
0.442000,0.828200,0.500000,0.989600,0.456000,0.910000,0.414000,0.856800,0.486000,0.963000,0.442000,0.860000,0.380000,0.777300,0.436000,0.902800,0.414000,0.868400,0.512000,0.986000,1817.826000,70.830000,70.830000,1161.083267,6.966125,6.966125,4.482000,40.234000,200
0.400000,0.808700,0.510000,0.983900,0.466000,0.946500,0.412000,0.833300,0.490000,0.968500,0.398000,0.819500,0.398000,0.796800,0.484000,0.920100,0.426000,0.858000,0.476000,0.983900,1829.056000,75.626000,75.626000,1058.434994,6.979125,6.979125,4.460000,40.138000,210
0.440000,0.840300,0.476000,0.982000,0.450000,0.963600,0.444000,0.854700,0.524000,0.953300,0.426000,0.800700,0.356000,0.769000,0.470000,0.920500,0.388000,0.844700,0.486000,0.988200,1820.042000,78.836000,78.836000,1241.668441,6.980500,6.980500,4.460000,40.128000,220
0.428000,0.818000,0.490000,0.969700,0.470000,0.973300,0.470000,0.909500,0.456000,0.900700,0.416000,0.814500,0.404000,0.793400,0.476000,0.941200,0.420000,0.844300,0.464000,0.990600,1823.672000,80.698000,80.698000,1379.790377,6.988250,6.988250,4.494000,40.292000,230
0.368000,0.741500,0.478000,0.964700,0.482000,0.949600,0.448000,0.874800,0.448000,0.914700,0.430000,0.852600,0.402000,0.775300,0.460000,0.901300,0.416000,0.837000,0.474000,0.996000,1820.896000,75.080000,75.080000,1238.430461,6.885000,6.885000,4.406000,39.636000,240
0.390000,0.760500,0.462000,0.935800,0.478000,0.928700,0.392000,0.784700,0.434000,0.897400,0.414000,0.770400,0.406000,0.823300,0.436000,0.911600,0.430000,0.874200,0.478000,0.973000,1831.166000,66.638000,66.638000,1148.383723,6.770250,6.770250,4.320000,38.972000,250
0.444000,0.865800,0.482000,0.927400,0.480000,0.958500,0.438000,0.865000,0.422000,0.858600,0.414000,0.801300,0.422000,0.850200,0.450000,0.911700,0.400000,0.861400,0.508000,0.984000,1828.142000,74.706000,74.706000,906.428421,6.913625,6.913625,4.460000,39.958000,260
0.432000,0.886200,0.436000,0.938000,0.470000,0.940300,0.460000,0.874200,0.444000,0.871500,0.374000,0.781900,0.478000,0.893800,0.412000,0.864000,0.456000,0.890400,0.484000,0.989000,1822.530000,76.502000,76.502000,1510.539074,7.011500,7.011500,4.446000,40.204000,270
0.466000,0.866500,0.446000,0.918700,0.436000,0.931700,0.410000,0.866500,0.444000,0.878700,0.380000,0.778200,0.440000,0.855000,0.438000,0.892800,0.452000,0.931500,0.502000,0.972800,1826.104000,75.006000,75.006000,1338.190345,7.018750,7.018750,4.414000,40.056000,280
0.456000,0.901300,0.460000,0.968000,0.488000,0.963700,0.480000,0.899900,0.434000,0.896300,0.434000,0.803000,0.422000,0.857900,0.450000,0.897100,0.466000,0.926300,0.500000,0.983200,1821.054000,72.978000,72.978000,982.077671,7.055250,7.055250,4.590000,40.896000,290
0.432000,0.881900,0.498000,0.936600,0.498000,0.956900,0.404000,0.840100,0.438000,0.880100,0.408000,0.803700,0.420000,0.866100,0.422000,0.899600,0.406000,0.848600,0.500000,0.968100,1825.190000,68.920000,68.920000,967.340281,6.982000,6.982000,4.426000,39.992000,300
0.464000,0.895000,0.464000,0.902400,0.484000,0.944300,0.432000,0.846200,0.388000,0.816300,0.406000,0.780900,0.458000,0.884000,0.422000,0.866300,0.410000,0.846200,0.476000,0.987000,1812.182000,69.180000,69.180000,1300.600802,6.815375,6.815375,4.404000,39.442000,310
0.462000,0.927900,0.442000,0.961500,0.502000,0.951800,0.438000,0.858300,0.418000,0.872800,0.454000,0.864900,0.474000,0.903800,0.416000,0.862600,0.472000,0.900500,0.506000,0.992600,1821.726000,88.422000,88.422000,1892.460838,7.072875,7.072875,4.584000,40.910000,320
0.472000,0.930900,0.494000,0.976700,0.414000,0.911800,0.438000,0.893900,0.412000,0.825600,0.428000,0.835800,0.428000,0.857600,0.470000,0.877800,0.440000,0.913600,0.498000,0.990000,1815.944000,94.964000,94.964000,2020.652008,7.056625,7.056625,4.494000,40.570000,330
0.438000,0.884600,0.472000,0.955200,0.474000,0.874400,0.444000,0.873200,0.404000,0.816500,0.354000,0.763000,0.382000,0.837300,0.434000,0.876400,0.482000,0.932900,0.528000,0.985500,1812.886000,90.730000,90.730000,1802.738577,6.847250,6.847250,4.412000,39.576000,340
0.384000,0.837600,0.502000,0.933000,0.430000,0.883400,0.478000,0.920400,0.406000,0.841900,0.434000,0.819000,0.420000,0.814000,0.466000,0.918200,0.438000,0.960900,0.520000,0.992000,1822.054000,85.662000,85.662000,1912.608974,6.942125,6.942125,4.478000,40.126000,350
0.416000,0.848600,0.468000,0.954300,0.498000,0.920400,0.428000,0.853900,0.354000,0.809400,0.400000,0.843900,0.494000,0.902900,0.480000,0.913600,0.466000,0.923200,0.530000,0.972000,1817.962000,83.926000,83.926000,2068.076677,6.894875,6.894875,4.534000,40.182000,360
0.414000,0.851100,0.432000,0.909300,0.460000,0.917800,0.402000,0.771400,0.388000,0.864100,0.360000,0.827300,0.490000,0.920100,0.472000,0.900900,0.502000,0.928400,0.490000,0.968200,1826.284000,84.946000,84.946000,2568.059202,6.944750,6.944750,4.410000,39.880000,370
0.418000,0.864100,0.458000,0.928400,0.478000,0.962600,0.394000,0.787700,0.420000,0.882700,0.450000,0.866500,0.454000,0.938000,0.434000,0.903800,0.464000,0.944800,0.530000,0.997000,1817.372000,97.618000,97.618000,2612.100277,7.138750,7.138750,4.500000,40.872000,380
0.480000,0.882500,0.438000,0.898900,0.492000,0.960000,0.402000,0.824500,0.354000,0.821100,0.466000,0.888900,0.492000,0.930700,0.394000,0.837800,0.462000,0.929400,0.496000,0.988000,1820.382000,89.818000,89.818000,2532.297471,6.996750,6.996750,4.476000,40.328000,390
0.400000,0.831000,0.424000,0.884200,0.478000,0.980300,0.434000,0.835500,0.398000,0.769000,0.466000,0.877800,0.446000,0.945900,0.402000,0.783500,0.492000,0.942900,0.484000,0.996600,1823.146000,86.962000,86.962000,2037.038633,6.899125,6.899125,4.424000,39.810000,400
0.432000,0.906500,0.424000,0.849800,0.516000,0.987600,0.380000,0.741800,0.394000,0.769200,0.466000,0.901500,0.476000,0.971700,0.360000,0.754600,0.486000,0.911000,0.494000,0.992500,1826.274000,75.118000,75.118000,1615.426930,6.819000,6.819000,4.428000,39.508000,410
0.466000,0.942100,0.442000,0.917900,0.530000,0.966400,0.398000,0.781800,0.380000,0.788500,0.428000,0.874300,0.450000,0.963700,0.390000,0.761200,0.488000,0.981400,0.504000,0.981800,1823.674000,63.944000,63.944000,1091.335535,7.015000,7.015000,4.476000,40.320000,420
0.450000,0.929600,0.494000,0.930000,0.482000,0.957500,0.396000,0.843200,0.478000,0.846500,0.430000,0.903900,0.474000,0.938300,0.350000,0.755100,0.510000,0.975900,0.458000,0.984600,1820.594000,72.002000,72.002000,1518.414826,7.091250,7.091250,4.522000,40.800000,430
0.510000,0.954000,0.460000,0.914000,0.484000,0.932800,0.442000,0.888900,0.448000,0.926200,0.448000,0.893200,0.492000,0.952500,0.418000,0.869500,0.502000,0.969300,0.456000,0.989600,1815.010000,77.046000,77.046000,1610.801487,7.234875,7.234875,4.660000,41.794000,440
0.440000,0.924800,0.480000,0.913600,0.494000,0.965800,0.466000,0.932400,0.462000,0.939100,0.452000,0.866500,0.466000,0.943500,0.448000,0.874900,0.468000,0.975400,0.456000,0.992500,1823.208000,80.298000,80.298000,1639.103403,7.325000,7.325000,4.632000,42.004000,450
0.440000,0.888000,0.470000,0.927700,0.518000,0.959500,0.494000,0.934800,0.438000,0.928600,0.418000,0.827900,0.484000,0.936800,0.382000,0.830300,0.494000,0.981800,0.474000,0.987000,1821.550000,79.558000,79.558000,1423.421479,7.166125,7.166125,4.612000,41.394000,460
0.450000,0.895600,0.464000,0.905400,0.450000,0.964700,0.460000,0.946000,0.488000,0.935300,0.396000,0.773700,0.466000,0.928800,0.430000,0.839100,0.474000,0.969200,0.494000,0.980000,1828.384000,80.894000,80.894000,1094.375515,7.115625,7.115625,4.572000,41.110000,470
0.398000,0.865100,0.424000,0.907500,0.482000,0.947400,0.448000,0.888400,0.506000,0.947500,0.442000,0.889800,0.506000,0.963500,0.428000,0.826600,0.464000,0.943300,0.482000,0.998000,1819.602000,78.156000,78.156000,1274.168000,7.183500,7.183500,4.580000,41.308000,480
0.466000,0.890400,0.474000,0.875800,0.506000,0.970000,0.436000,0.887700,0.476000,0.945100,0.440000,0.894500,0.512000,0.946100,0.422000,0.848300,0.420000,0.960000,0.430000,0.970000,1820.800000,74.438000,74.438000,1815.685527,7.198750,7.198750,4.582000,41.360000,490
0.438000,0.919900,0.426000,0.872400,0.460000,0.952000,0.466000,0.930600,0.470000,0.938100,0.424000,0.877200,0.478000,0.930700,0.462000,0.844800,0.484000,0.953900,0.472000,0.987900,1830.620000,69.988000,69.988000,1547.895647,7.229750,7.229750,4.580000,41.464000,500
0.436000,0.894200,0.442000,0.902300,0.464000,0.934800,0.458000,0.943700,0.442000,0.933000,0.452000,0.904000,0.498000,0.946100,0.446000,0.870800,0.484000,0.965200,0.492000,0.978400,1811.422000,70.076000,70.076000,1563.393010,7.281500,7.281500,4.614000,41.752000,510
0.478000,0.893400,0.418000,0.832400,0.420000,0.944100,0.494000,0.939100,0.442000,0.904500,0.430000,0.873800,0.480000,0.938300,0.420000,0.843800,0.470000,0.945700,0.506000,0.984000,1817.010000,68.792000,68.792000,1511.860457,7.077625,7.077625,4.558000,40.926000,520
0.436000,0.871400,0.418000,0.815000,0.502000,0.941800,0.440000,0.907500,0.428000,0.891200,0.444000,0.903600,0.458000,0.942400,0.438000,0.849900,0.494000,0.956100,0.490000,0.988800,1836.610000,72.764000,72.764000,2052.389082,7.065750,7.065750,4.548000,40.792000,530
0.400000,0.846500,0.456000,0.891200,0.466000,0.935500,0.488000,0.919800,0.386000,0.806400,0.400000,0.833900,0.482000,0.947100,0.444000,0.802600,0.466000,0.981500,0.500000,0.981600,1823.232000,71.194000,71.194000,2206.978321,6.957375,6.957375,4.488000,40.242000,540
