0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,genomeLength_AVE,markovBrainDeterministicGates_AVE,markovBrainGates_AVE,markovBrainGates_VAR,optimizeValue_AVE,score_AVE,totalCorrect_AVE,totalIncorrect_AVE,update
0.470000,0.996000,0.512000,0.996000,0.512000,0.993500,0.534000,0.996000,0.480000,0.997000,0.490000,0.990000,0.488000,0.995500,0.452000,0.996000,0.544000,0.992000,0.494000,0.992000,5000.000000,95.636000,95.636000,4.111727,7.761125,7.761125,4.976000,44.742000,0
0.346000,0.712900,0.338000,0.741800,0.366000,0.719300,0.344000,0.688600,0.328000,0.663600,0.322000,0.669400,0.362000,0.673200,0.338000,0.685300,0.332000,0.711400,0.376000,0.688200,1820.170000,42.534000,42.534000,281.852549,5.458875,5.458875,3.452000,31.306000,10
0.390000,0.812800,0.416000,0.803200,0.402000,0.831200,0.354000,0.687400,0.376000,0.758200,0.368000,0.725600,0.396000,0.752300,0.352000,0.694400,0.410000,0.840200,0.354000,0.694100,1824.086000,62.128000,62.128000,738.031679,5.922500,5.922500,3.818000,34.184000,20
0.418000,0.819600,0.426000,0.847400,0.396000,0.826900,0.392000,0.762600,0.408000,0.770100,0.350000,0.736500,0.362000,0.748200,0.360000,0.742700,0.408000,0.752900,0.328000,0.672900,1819.348000,72.952000,72.952000,1003.560818,6.020125,6.020125,3.848000,34.578000,30
0.456000,0.911200,0.386000,0.774400,0.444000,0.849800,0.448000,0.881000,0.388000,0.825400,0.374000,0.753800,0.396000,0.820900,0.448000,0.853600,0.348000,0.682500,0.296000,0.610900,1826.422000,84.592000,84.592000,1485.187912,6.232500,6.232500,3.984000,35.844000,40
0.462000,0.894200,0.408000,0.816700,0.398000,0.814800,0.438000,0.844200,0.390000,0.774500,0.424000,0.815100,0.482000,0.893300,0.386000,0.877500,0.368000,0.661000,0.280000,0.622900,1825.504000,92.108000,92.108000,1297.347030,6.201250,6.201250,4.036000,36.032000,50
0.412000,0.882800,0.406000,0.797500,0.406000,0.823400,0.392000,0.764200,0.428000,0.855600,0.398000,0.758600,0.456000,0.937200,0.446000,0.906500,0.294000,0.592900,0.398000,0.760700,1828.258000,95.582000,95.582000,1381.450176,6.316250,6.316250,4.036000,36.364000,60
0.448000,0.906600,0.396000,0.769300,0.390000,0.794500,0.382000,0.786100,0.440000,0.834500,0.314000,0.656800,0.486000,0.945800,0.472000,0.894000,0.340000,0.699700,0.364000,0.784200,1824.406000,102.688000,102.688000,1509.004665,6.292875,6.292875,4.032000,36.306000,70
0.470000,0.905500,0.434000,0.825000,0.416000,0.798700,0.394000,0.766400,0.434000,0.861800,0.286000,0.576700,0.452000,0.883600,0.396000,0.828900,0.358000,0.754000,0.416000,0.826700,1820.254000,96.032000,96.032000,1655.958894,6.201875,6.201875,4.056000,36.078000,80
0.446000,0.870300,0.426000,0.821500,0.468000,0.909700,0.360000,0.823000,0.426000,0.834600,0.336000,0.663600,0.432000,0.822400,0.394000,0.778200,0.326000,0.652400,0.410000,0.801400,1824.272000,104.266000,104.266000,1874.035315,6.207750,6.207750,4.024000,35.880000,90
0.424000,0.927700,0.410000,0.859800,0.456000,0.855100,0.426000,0.818100,0.440000,0.846500,0.320000,0.657600,0.468000,0.901500,0.428000,0.874800,0.260000,0.512100,0.404000,0.820200,1822.782000,119.636000,119.636000,1681.654814,6.316250,6.316250,4.036000,36.348000,100
0.468000,0.900400,0.392000,0.814600,0.468000,0.930900,0.318000,0.713900,0.440000,0.858100,0.318000,0.682000,0.422000,0.859200,0.456000,0.898900,0.258000,0.504000,0.452000,0.826100,1811.148000,106.102000,106.102000,1365.751098,6.219625,6.219625,3.992000,35.922000,110
