0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,ID,alive,genomeLength,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_AVE,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_AVE,markovBrain_nodesConnections_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,totalCorrect_AVE,totalIncorrect_AVE,totalIncorrect_LIST,update
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,1,5000,94,94,11.058824,"[5,8,14,8,11,11,12,11,19,20,10,13,7,16,18,12,15,9,11,7,10,5,9,8,14,13,7,11,12,12,10,9,10,9]",11.058824,"[14,5,9,13,11,11,15,15,18,25,18,12,9,10,5,7,6,11,8,12,4,6,12,15,8,6,11,11,5,14,16,14,11,9]",7.812500,7.812500,"[7.812500]",-1,5.000000,45.000000,"[45]",0
0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5001,1,1975,46,46,5.411765,"[3,7,5,0,5,2,3,3,13,25,13,18,4,11,2,4,2,13,1,3,0,1,3,6,0,2,13,2,2,2,15,0,1,0]",5.411765,"[4,5,0,5,0,3,0,4,5,2,2,0,0,2,25,3,5,12,3,13,3,9,11,2,12,0,8,3,2,24,13,0,0,4]",6.250000,6.250000,"[6.250000]",9,3.000000,32.000000,"[32]",10
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,10001,1,1948,70,70,8.235294,"[15,2,21,20,21,5,0,10,11,9,0,8,0,1,3,8,2,24,14,7,0,0,7,15,23,1,2,17,13,2,5,0,14,0]",8.235294,"[1,0,26,6,16,3,0,10,24,52,1,7,3,0,8,4,3,14,14,5,1,0,1,19,14,0,8,12,6,11,2,0,7,2]",7.812500,7.812500,"[7.812500]",19,3.000000,37.000000,"[37]",20
1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,15001,1,1935,60,60,7.058824,"[3,0,4,5,0,6,19,0,3,2,0,3,0,0,0,5,16,0,0,0,37,46,0,1,1,1,4,0,75,8,0,1,0,0]",7.058824,"[2,0,0,17,0,3,22,1,25,1,0,0,1,2,0,1,38,0,2,33,0,0,2,0,34,0,1,0,36,1,0,18,0,0]",1.000000,1.000000,"[1.000000]",29,4.000000,20.000000,"[20]",30
1.000000,1.000000,0.000000,1.000000,0.000000,0.800000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,20001,1,1700,52,52,6.117647,"[11,1,1,17,12,2,14,13,9,24,7,20,8,0,0,14,3,9,5,14,0,0,3,1,10,0,0,0,0,7,1,1,0,1]",6.117647,"[8,10,0,8,0,11,12,12,9,23,10,6,18,0,0,2,10,16,2,2,0,15,14,0,2,0,0,0,0,0,2,12,3,1]",6.687500,6.687500,"[6.687500]",39,3.000000,35.000000,"[35]",40
0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,25001,1,1736,101,101,11.882353,"[15,0,0,18,0,0,0,34,40,62,0,3,0,0,3,36,5,14,4,0,12,13,16,2,18,22,12,0,0,25,24,9,17,0]",11.882353,"[26,4,0,5,0,0,0,28,42,35,0,11,0,0,2,58,14,24,3,4,0,24,12,4,21,20,4,0,0,28,11,7,17,0]",6.250000,6.250000,"[6.250000]",49,5.000000,40.000000,"[40]",50
0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.250000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,30001,1,1776,58,58,6.823529,"[0,0,12,1,0,2,3,0,2,29,1,5,22,0,1,5,27,0,17,23,2,14,1,12,0,50,0,0,0,0,2,1,0,0]",6.823529,"[0,0,19,12,0,0,4,0,15,39,0,4,12,0,0,0,16,0,25,26,1,3,2,9,0,29,0,0,0,0,14,2,0,0]",6.812500,6.812500,"[6.812500]",59,3.000000,29.000000,"[29]",60
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,35001,1,1731,86,86,10.117647,"[1,0,0,12,0,0,0,19,39,67,0,5,3,0,4,4,11,1,6,2,6,45,9,0,31,7,4,0,0,11,29,6,22,0]",10.117647,"[3,0,0,5,0,0,0,34,54,22,0,4,0,0,0,24,6,2,3,7,0,37,11,4,24,8,5,0,0,33,12,0,46,0]",6.250000,6.250000,"[6.250000]",69,5.000000,40.000000,"[40]",70
1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,40001,1,1892,138,138,16.235294,"[29,0,21,0,12,12,0,0,129,90,26,15,0,0,0,10,0,22,61,12,1,10,2,7,22,23,0,0,0,1,17,16,14,0]",16.235294,"[47,0,24,0,8,11,0,0,103,89,25,45,7,0,0,8,7,9,66,4,2,12,1,9,23,26,0,0,0,3,9,8,6,0]",6.250000,6.250000,"[6.250000]",79,3.000000,32.000000,"[32]",80
0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,45001,1,1663,91,91,10.705882,"[0,0,0,7,0,0,1,32,35,35,1,0,0,7,14,18,0,8,0,2,0,40,21,9,29,0,2,0,12,20,28,5,38,0]",10.705882,"[3,0,0,4,0,0,0,31,40,64,5,0,0,4,12,17,0,6,0,2,0,52,13,11,32,0,0,2,12,9,26,0,19,0]",4.687500,4.687500,"[4.687500]",89,4.000000,31.000000,"[31]",90
