0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,genomeLength_AVE,optimizeValue_AVE,score_AVE,totalCorrect_AVE,totalIncorrect_AVE,update
0.520000,0.985000,0.440000,0.835500,0.430000,0.952000,0.500000,0.949500,0.580000,0.978500,0.440000,0.947000,0.470000,0.980000,0.440000,0.900500,0.490000,0.976000,0.380000,0.800500,5144.560000,7.183125,7.183125,4.690000,41.850000,230
0.520000,0.980000,0.430000,0.795000,0.410000,0.916000,0.490000,0.887500,0.480000,0.981000,0.460000,0.982000,0.470000,0.990000,0.350000,0.913000,0.470000,0.949000,0.430000,0.783500,5350.160000,7.213125,7.213125,4.510000,41.310000,240
0.480000,1.000000,0.400000,0.773500,0.450000,0.923500,0.410000,0.887000,0.590000,0.985000,0.450000,0.873500,0.440000,0.970000,0.420000,0.901000,0.560000,0.937000,0.430000,0.830000,5193.700000,7.078750,7.078750,4.630000,40.820000,250
0.540000,0.970000,0.340000,0.769000,0.360000,0.941500,0.510000,0.940000,0.460000,0.952000,0.480000,0.875500,0.490000,0.972000,0.450000,0.890500,0.360000,0.918000,0.440000,0.855000,5382.280000,7.124375,7.124375,4.430000,40.910000,260
0.550000,1.000000,0.430000,0.790500,0.420000,0.944000,0.530000,0.965000,0.540000,1.000000,0.460000,0.920000,0.480000,0.970000,0.360000,0.857000,0.430000,0.792500,0.450000,0.887500,5456.900000,7.070000,7.070000,4.650000,41.060000,270
0.570000,0.990000,0.390000,0.830500,0.480000,0.935000,0.380000,0.945000,0.590000,0.978000,0.450000,0.954000,0.600000,0.962500,0.420000,0.935000,0.390000,0.854500,0.320000,0.855500,5657.660000,7.224375,7.224375,4.590000,41.610000,280
0.500000,0.955000,0.420000,0.719500,0.430000,0.959000,0.450000,0.925000,0.450000,0.960000,0.480000,0.975500,0.490000,0.959500,0.450000,0.881500,0.460000,0.927000,0.320000,0.768500,5511.050000,7.123750,7.123750,4.450000,40.680000,290
0.460000,1.000000,0.410000,0.828000,0.500000,0.888000,0.400000,0.949000,0.510000,0.940000,0.600000,0.957500,0.440000,0.946500,0.460000,0.943500,0.510000,0.962000,0.410000,0.944000,5194.460000,7.279375,7.279375,4.700000,42.090000,300
0.610000,0.990000,0.460000,0.871500,0.380000,0.824500,0.440000,0.975000,0.480000,0.978000,0.440000,0.955000,0.330000,0.767000,0.470000,0.872000,0.450000,0.894500,0.440000,0.990000,4543.170000,7.146250,7.146250,4.500000,41.000000,310
0.540000,0.960000,0.390000,0.854500,0.410000,0.842500,0.470000,0.892500,0.550000,0.997500,0.400000,0.928500,0.380000,0.865000,0.390000,0.849000,0.520000,0.935000,0.480000,0.870000,4891.180000,6.982500,6.982500,4.530000,40.440000,320
0.560000,0.990000,0.300000,0.749500,0.380000,0.798000,0.500000,0.926000,0.460000,0.940000,0.420000,0.863000,0.390000,0.885000,0.440000,0.808000,0.400000,0.900000,0.430000,0.846500,5048.250000,6.774375,6.774375,4.280000,39.190000,330
0.400000,0.970000,0.480000,0.875000,0.510000,0.929000,0.490000,0.968000,0.430000,0.940000,0.460000,0.878000,0.470000,0.960000,0.590000,0.925500,0.490000,0.942500,0.380000,0.909500,5765.640000,7.232500,7.232500,4.700000,41.800000,340
